Genre,Movie Name,Duration,Duration Minutes,Rating,Votes,genre
Action,Vedaa,2h 25m,145.0,6.0,4300.0,Scripts\action_movies
Action,Big Rage,1h 55m,115.0,3.6,163.0,Scripts\action_movies
Action,Bagheera,2h 38m,158.0,6.7,7300.0,Scripts\action_movies
Action,KA,2h 31m,151.0,7.2,1500.0,Scripts\action_movies
Action,The Ballad of Davy Crockett,1h 36m,96.0,4.6,246.0,Scripts\action_movies
Action,The Last Ronin,1h 55m,115.0,4.8,566.0,Scripts\action_movies
Action,Ryan's World the Movie: Titan Universe Adventure,1h 20m,80.0,1.8,681.0,Scripts\action_movies
Action,Spiders on a Plane,1h 18m,78.0,5.2,371.0,Scripts\action_movies
Action,Exorcism Chronicles: The Beginning,1h 25m,85.0,7.2,96.0,Scripts\action_movies
Action,Indian 2,1h 25m,,3.8,16000.0,Scripts\action_movies
Action,Invasion,1h 31m,91.0,4.8,671.0,Scripts\action_movies
Action,Yodha,2h 10m,130.0,5.7,8800.0,Scripts\action_movies
Action,Ghosts of Red Ridge,1h 21m,81.0,3.3,154.0,Scripts\action_movies
Action,Alienoid: The Return to the Future,2h 2m,122.0,6.5,2600.0,Scripts\action_movies
Action,Yolo,2h 9m,129.0,6.9,3700.0,Scripts\action_movies
Action,Everybody Loves Jenifa,2h 15m,135.0,8.3,82.0,Scripts\action_movies
Action,Pimpinero: Blood and Oil,2h 1m,121.0,5.6,544.0,Scripts\action_movies
Action,The Friendly,1h 41m,101.0,8.1,15.0,Scripts\action_movies
Action,Ka Whawhai Tonu,1h 55m,115.0,7.4,176.0,Scripts\action_movies
Action,Razakar: The Silent Genocide of Hyderabad,2h 46m,166.0,7.4,5300.0,Scripts\action_movies
Action,Guntur Kaaram,2h 39m,159.0,5.4,25000.0,Scripts\action_movies
Action,Tillu Square,2h 17m,137.0,6.6,3400.0,Scripts\action_movies
Action,Sons of Rizk 3,2h 5m,125.0,6.7,1700.0,Scripts\action_movies
Action,UI,2h 15m,135.0,6.9,5700.0,Scripts\action_movies
Action,The Last of Us: Immunity,1h 4m,64.0,5.8,14.0,Scripts\action_movies
Action,Mission: Cross,1h 45m,105.0,6.1,2600.0,Scripts\action_movies
Action,Don't Mess with Grandma,1h 21m,81.0,6.0,151.0,Scripts\action_movies
Action,Hunting with Tigers,1h 49m,109.0,5.6,521.0,Scripts\action_movies
Action,Kingdom 4: Return of the Great General,2h 25m,145.0,7.1,1300.0,Scripts\action_movies
Action,Ayalaan,2h 35m,155.0,6.0,4000.0,Scripts\action_movies
Action,The Moon Thieves,1h 48m,108.0,6.1,242.0,Scripts\action_movies
Action,Game of Death - The six Doors to Hell,1h 48m,,,,Scripts\action_movies
Action,Mura,2h 9m,129.0,7.3,6200.0,Scripts\action_movies
Action,The Charisma Killers,1h 41m,101.0,6.2,653.0,Scripts\action_movies
Action,Customs Frontline,1h 55m,115.0,5.4,477.0,Scripts\action_movies
Action,Citizen of a Kind,1h 54m,114.0,6.7,792.0,Scripts\action_movies
Action,Auron Mein Kahan Dum Tha,2h 30m,150.0,6.6,41000.0,Scripts\action_movies
Action,Barroz: Guardian of Treasures,2h 35m,155.0,3.5,988.0,Scripts\action_movies
Action,Bureau 749,2h 3m,123.0,4.1,519.0,Scripts\action_movies
Action,Eagle,2h 39m,159.0,5.9,4900.0,Scripts\action_movies
Action,Je Jatt Vigarh Gya,2h 12m,132.0,5.7,821.0,Scripts\action_movies
Action,The Plot,1h 40m,100.0,4.8,375.0,Scripts\action_movies
Action,School of Magical Animals 3,1h 45m,105.0,5.9,307.0,Scripts\action_movies
Action,Cassino in Ischia,1h 53m,113.0,4.4,239.0,Scripts\action_movies
Action,Snatched,1h 41m,101.0,4.9,209.0,Scripts\action_movies
Action,Hunt the Wicked,1h 42m,102.0,5.3,109.0,Scripts\action_movies
Action,Deaner '89,1h 30m,90.0,5.9,416.0,Scripts\action_movies
Action,Cells at Work!,1h 49m,109.0,6.8,191.0,Scripts\action_movies
Action,Lady Scorpions,1h 41m,101.0,3.6,366.0,Scripts\action_movies
Action,Kondal,2h 27m,147.0,5.4,766.0,Scripts\action_movies
Action,Sabari,2h 9m,129.0,8.4,5400.0,Scripts\action_movies
Action,The Unbreakable Bunch,R,0.0,7.2,26.0,Scripts\action_movies
Action,Sasan,2h 35m,155.0,8.6,67.0,Scripts\action_movies
Action,The Actor,2h 8m,128.0,3.3,725.0,Scripts\action_movies
Action,Taken from Rio Bravo,1h 20m,80.0,3.0,311.0,Scripts\action_movies
Action,I Am What I Am 2,2h 14m,134.0,7.5,199.0,Scripts\action_movies
Action,Crakk: Jeetega... Toh Jiyegaa,2h 34m,154.0,4.7,6500.0,Scripts\action_movies
Action,Son's Will,2h 34m,,7.4,843.0,Scripts\action_movies
Action,Shark Warning,1h 34m,94.0,3.4,261.0,Scripts\action_movies
Action,Crisis Negotiators,2h,120.0,6.7,706.0,Scripts\action_movies
Action,Garudan,2h 13m,133.0,7.1,3300.0,Scripts\action_movies
Action,First Nights at Freddy's,1h 38m,98.0,9.3,15.0,Scripts\action_movies
Action,Martin,2h 27m,147.0,2.3,36000.0,Scripts\action_movies
Action,Yudhra,2h 22m,142.0,5.0,13000.0,Scripts\action_movies
Action,Non Negotiable,1h 27m,87.0,5.4,1200.0,Scripts\action_movies
Action,Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,2h 54m,174.0,8.2,655.0,Scripts\action_movies
Action,(Pri)sons,1h 40m,100.0,5.1,267.0,Scripts\action_movies
Action,Sheriff,2h 13m,133.0,6.9,1100.0,Scripts\action_movies
Action,Baki Hanma VS Kengan Ashura,1h 2m,62.0,5.7,1900.0,Scripts\action_movies
Action,I Heart Robots,1h 16m,76.0,4.6,2400.0,Scripts\action_movies
Action,Team of Two,1h 16m,,5.0,108.0,Scripts\action_movies
Action,The Firefighters,1h 46m,106.0,5.7,177.0,Scripts\action_movies
Action,Rajakili,2h 2m,122.0,7.4,569.0,Scripts\action_movies
Action,Operation Hope,2h 2m,,7.0,22.0,Scripts\action_movies
Action,The Day Everything Changed,1h 37m,97.0,7.9,79.0,Scripts\action_movies
Action,Young Lion of the West,1h 33m,93.0,5.2,108.0,Scripts\action_movies
Action,American Underdog,1h 29m,89.0,8.8,23.0,Scripts\action_movies
Action,Art of Eight Limbs,1h 41m,101.0,3.9,309.0,Scripts\action_movies
